iter	Accuracy	MultiClass
572	1	0.107695781
573	1	0.1074746034
574	1	0.1072807353
575	1	0.1069337869
576	1	0.1066257374
577	1	0.1064359339
578	1	0.1061315244
579	1	0.1059026724
580	1	0.105681827
581	1	0.1053996726
582	1	0.1050945919
583	1	0.1048276749
584	1	0.1045189708
585	1	0.1042722567
586	1	0.1040667424
587	1	0.1038024175
588	1	0.1036633418
589	1	0.103376835
590	1	0.1031500088
591	1	0.1028968827
592	1	0.1026283833
593	1	0.1024182651
594	1	0.1021554032
595	1	0.1020472397
596	1	0.1017416937
597	1	0.1015067273
598	1	0.1013206051
599	1	0.1010356769
600	1	0.1008040842
601	1	0.1006523609
602	1	0.100420051
603	1	0.1002407594
604	1	0.1000324497
605	1	0.09984418129
606	1	0.09960661672
607	1	0.09942002058
608	1	0.09925671403
609	1	0.09899853721
610	1	0.0986971104
611	1	0.09844788134
612	1	0.09814199337
613	1	0.09782227215
614	1	0.09762330713
615	1	0.0973842944
616	1	0.09718851323
617	1	0.0970136059
618	1	0.09669267581
619	1	0.09653877138
620	1	0.09627678147
621	1	0.09617502401
622	1	0.09599278486
623	1	0.09585449313
624	1	0.09559583568
625	1	0.09540571555
626	1	0.09517390301
627	1	0.09488005773
628	1	0.09466540828
629	1	0.09451157111
630	1	0.09431017956
631	1	0.09403520718
632	1	0.09394152933
633	1	0.09373713129
634	1	0.09347832129
635	1	0.09324516663
636	1	0.09298877814
637	1	0.09271822387
638	1	0.09249918445
639	1	0.0922825898
640	1	0.09207444661
641	1	0.09189535863
642	1	0.0917346956
643	1	0.09157109962
644	1	0.09135619296
645	1	0.0911445101
646	1	0.09096869689
647	1	0.09080368267
648	1	0.09065727312
649	1	0.09047592714
650	1	0.09026097317
651	1	0.09003720365
652	1	0.08985171755
653	1	0.08962640976
654	1	0.08946555101
655	1	0.08922116273
656	1	0.0890315162
657	1	0.08884466361
658	1	0.08864849659
659	1	0.08845040541
660	1	0.08832646522
661	1	0.08813617419
662	1	0.08793765281
663	1	0.0877514699
664	1	0.08756831639
665	1	0.08730135251
666	1	0.08707333613
667	1	0.0868896605
668	1	0.08669053041
669	1	0.08649080878
670	1	0.08629206349
671	1	0.08613469104
672	1	0.08591508358
673	1	0.08576493826
674	1	0.08559477204
675	1	0.0854330583
676	1	0.08527547933
677	1	0.08504865182
678	1	0.08485780973
679	1	0.08469157854
680	1	0.0845261092
681	1	0.08437979657
682	1	0.08419648611
683	1	0.08407345372
684	1	0.08390138151
685	1	0.08372176023
686	1	0.08357229686
687	1	0.08341621854
688	1	0.08327492671
689	1	0.08317211739
690	1	0.0830078731
691	1	0.0828658668
692	1	0.08269136718
693	1	0.08251464457
694	1	0.08239820898
695	1	0.0822283422
696	1	0.08200881149
697	1	0.08181579493
698	1	0.08162448896
699	1	0.08148595352
700	1	0.08132700638
701	1	0.08112973864
702	1	0.08102829863
703	1	0.08086720433
704	1	0.08069724128
705	1	0.08053925461
706	1	0.08039616808
707	1	0.08019350998
708	1	0.08004666384
709	1	0.07995285284
710	1	0.07980712693
711	1	0.07964240081
712	1	0.07947910765
713	1	0.07936387156
714	1	0.07926094904
715	1	0.07907108121
716	1	0.07897354595
717	1	0.07879589064
718	1	0.0786681604
719	1	0.07850274145
720	1	0.0783457856
721	1	0.07820457791
722	1	0.07802289235
723	1	0.07789832224
724	1	0.07781475
725	1	0.07771926809
726	1	0.0775454688
727	1	0.07746837176
728	1	0.07733472026
729	1	0.07714086264
730	1	0.07701098217
731	1	0.07682158954
732	1	0.07666786927
733	1	0.07649756143
734	1	0.07635425815
735	1	0.07625548999
736	1	0.07611704005
737	1	0.07602112222
738	1	0.07589935259
739	1	0.07571698044
740	1	0.07559963238
741	1	0.0754397761
742	1	0.07531012487
743	1	0.07519672088
744	1	0.07505439734
745	1	0.07494067148
746	1	0.07479573592
747	1	0.07468501464
748	1	0.07459306597
749	1	0.07445517401
750	1	0.07429895399
751	1	0.07416212721
752	1	0.07405292116
753	1	0.07389873441
754	1	0.07374399857
755	1	0.07361994569
756	1	0.07347857328
757	1	0.07332279994
758	1	0.07315459901
759	1	0.0730508584
760	1	0.07290332996
761	1	0.07280536615
762	1	0.07268227188
763	1	0.07255954922
764	1	0.07243427447
765	1	0.07232862867
766	1	0.0722001717
767	1	0.07205133547
768	1	0.07191702844
769	1	0.07176095075
770	1	0.07164108209
771	1	0.0714946278
772	1	0.07140717195
773	1	0.07128425613
774	1	0.07117349951
775	1	0.07101941176
776	1	0.0709379889
777	1	0.07079997811
778	1	0.07068270519
779	1	0.07055899205
780	1	0.07044820261
781	1	0.07030735697
782	1	0.07018942754
783	1	0.07011975394
784	1	0.0700574549
785	1	0.06990227396
786	1	0.06978773509
787	1	0.06967089762
788	1	0.06953971783
789	1	0.0694026716
790	1	0.06928617102
791	1	0.0691308158
792	1	0.06902904388
793	1	0.06890142156
794	1	0.06878121363
795	1	0.0686864286
796	1	0.06858598922
797	1	0.06845863181
798	1	0.06834285124
799	1	0.06825204567
800	1	0.06814613647
801	1	0.06807449296
802	1	0.06794675592
803	1	0.06783847853
804	1	0.06767866564
805	1	0.06758151504
806	1	0.0675114528
807	1	0.06743735639
808	1	0.06731130941
809	1	0.06718638573
810	1	0.06703736314
811	1	0.06699590676
812	1	0.06686466774
813	1	0.06672627543
814	1	0.06665959639
815	1	0.06656888724
816	1	0.06648289022
817	1	0.06640330547
818	1	0.06629033216
819	1	0.06619087366
820	1	0.06609969921
821	1	0.06601879683
822	1	0.06590408013
823	1	0.06580365194
824	1	0.06568707974
825	1	0.06556194744
826	1	0.06545863156
827	1	0.06533283738
828	1	0.06525833614
829	1	0.0651511787
830	1	0.06508478322
831	1	0.06501328085
832	1	0.06487644878
833	1	0.06476268802
834	1	0.06469950717
835	1	0.06461038965
836	1	0.06449614732
837	1	0.06441752088
838	1	0.06431862538
839	1	0.06420861668
840	1	0.06417031375
841	1	0.06407742506
842	1	0.06397008575
843	1	0.06387530986
844	1	0.06375316165
845	1	0.06363956852
846	1	0.06355880542
847	1	0.06347154
848	1	0.06335520484
849	1	0.06324484994
850	1	0.06314589435
851	1	0.0630404329
852	1	0.06292262401
853	1	0.06288145001
854	1	0.06282406412
855	1	0.06272801346
856	1	0.06264602116
857	1	0.06251245358
858	1	0.06239603801
859	1	0.06226911125
860	1	0.06217925801
861	1	0.06205895021
862	1	0.06195255936
863	1	0.0618408648
864	1	0.06175524031
865	1	0.06164622877
866	1	0.06157865305
867	1	0.06144094075
868	1	0.06140783919
869	1	0.06132469465
870	1	0.06119666175
871	1	0.06111419629
872	1	0.06102892871
873	1	0.06092394006
874	1	0.06083900724
875	1	0.06074221577
876	1	0.06064610725
877	1	0.06053791408
878	1	0.06042499922
879	1	0.06030816301
880	1	0.06018021407
881	1	0.06008969268
882	1	0.0600002953
883	1	0.05991509072
884	1	0.05985250803
885	1	0.05975362226
886	1	0.05966593361
887	1	0.05958264999
888	1	0.05948960386
889	1	0.05940278356
890	1	0.05930997585
891	1	0.05922451324
892	1	0.05910699155
893	1	0.05902259189
894	1	0.05893666403
895	1	0.0588229746
896	1	0.05874784417
897	1	0.05864084565
898	1	0.05853607381
899	1	0.05845949067
900	1	0.05840666105
901	1	0.05831264579
902	1	0.0582396063
903	1	0.05814194352
904	1	0.05803491131
905	1	0.05794261501
906	1	0.05785470878
907	1	0.05776738936
908	1	0.05767321568
909	1	0.0575776539
910	1	0.05752558427
911	1	0.05744693858
912	1	0.05733751201
913	1	0.05721927271
914	1	0.05709314586
915	1	0.05700302881
916	1	0.05693788813
917	1	0.05685618215
918	1	0.05677015942
919	1	0.05670461688
920	1	0.05663357478
921	1	0.05657482816
922	1	0.05650648237
923	1	0.0564246561
924	1	0.05634426749
925	1	0.05625110659
926	1	0.0561909136
927	1	0.05611468667
928	1	0.05602150635
929	1	0.05595291017
930	1	0.05587095906
931	1	0.05581245861
932	1	0.05574458531
933	1	0.05568583898
934	1	0.05560821995
935	1	0.05551836523
936	1	0.05543877993
937	1	0.05535311438
938	1	0.05531266763
939	1	0.05529366272
940	1	0.05519712807
941	1	0.05510192551
942	1	0.05500370754
943	1	0.05494997588
944	1	0.05484191738
945	1	0.05473946268
946	1	0.05463184873
947	1	0.05456707333
948	1	0.05448256396
949	1	0.05442577689
950	1	0.05434130633
951	1	0.0542873777
952	1	0.05422968766
953	1	0.05414960706
954	1	0.0540743831
955	1	0.0540202213
956	1	0.05395206685
957	1	0.05390466858
958	1	0.05382754653
959	1	0.05375041631
960	1	0.05369384105
961	1	0.0536188795
962	1	0.05354229022
963	1	0.05347055053
964	1	0.05339354237
965	1	0.0533504273
966	1	0.05327325143
967	1	0.0532146708
968	1	0.05313824399
969	1	0.05307258757
970	1	0.05299128988
971	1	0.05291850251
972	1	0.05284351198
973	1	0.05277338867
974	1	0.05268869674
975	1	0.05261549283
976	1	0.05257643229
977	1	0.05251641036
978	1	0.05244209404
979	1	0.05237012161
980	1	0.05232530162
981	1	0.0522413503
982	1	0.05216619105
983	1	0.05210104015
984	1	0.05200656066
985	1	0.0519121296
986	1	0.05183991287
987	1	0.05176014412
988	1	0.05168183382
989	1	0.05162860149
990	1	0.05157552361
991	1	0.05150731199
992	1	0.0514445492
993	1	0.05140763755
994	1	0.05133445184
995	1	0.05125954389
996	1	0.05120121955
997	1	0.05112604296
998	1	0.05106082177
999	1	0.05100016372
